GEOID,NAME,variable,estimate_2015,moe_2015,estimate_2016,moe_2016,estimate_2017,moe_2017,estimate_2018,moe_2018,estimate_2019,moe_2019,estimate_2020,moe_2020
06,California,Native Hawaiian or Other Pacific Islander,150370,1984,150908,2216,152027,1860,153366,2473,155290,2609,149636,2459
06,California,Multiple Races,1734897,20243,1787159,21484,1834714,22155,1882227,23736,1922664,25591,3122016,30556
08,Colorado,White,4446095,6344,4517058,5925,4576201,6227,4655584,5852,4712574,6392,4634305,7323
08,Colorado,Black or African American,213787,2269,219349,2311,221155,2337,227938,2446,233647,2659,235692,2805
08,Colorado,American Indian or Alaska Native,50008,2126,50160,2033,51406,2116,54483,1913,54847,2221,53671,2058
08,Colorado,Asian,153467,2349,157523,1698,164771,1773,172695,1886,178147,2100,181733,2287
08,Colorado,Native Hawaiian or Other Pacific Islander,7695,713,7441,598,8580,598,8296,516,8643,719,8883,849
08,Colorado,Multiple Races,183480,5072,183735,4275,188909,4365,197328,4702,205724,4667,337229,6691
09,Connecticut,White,2778362,5260,2768080,4629,2757064,5474,2734880,5407,2714031,5704,2649994,6052
09,Connecticut,Black or African American,370501,2888,372696,2688,376240,2518,378262,2718,383416,3374,382161,3651
09,Connecticut,American Indian or Alaska Native,8908,783,9399,1144,9385,867,9698,1118,9955,905,9079,1107
09,Connecticut,Asian,150670,1067,152782,1514,156450,1587,158817,1472,161257,1513,163262,1704
09,Connecticut,Native Hawaiian or Other Pacific Islander,981,189,1031,163,931,212,1173,278,1123,277,1189,274
09,Connecticut,Multiple Races,101919,2876,106988,2912,110654,3017,113430,3456,119000,4973,172647,5838
10,Delaware,White,642623,1952,647002,1911,652170,1798,654905,2245,658237,1765,652587,2742
10,Delaware,Black or African American,200481,1327,203027,1298,206290,1405,209892,1374,212302,1643,212795,1917
10,Delaware,American Indian or Alaska Native,3140,418,3494,422,3482,471,3455,484,3729,533,3560,334
10,Delaware,Asian,33643,599,34428,700,36553,717,36723,727,37009,738,38528,900
10,Delaware,Native Hawaiian or Other Pacific Islander,306,141,461,232,465,263,477,296,542,297,705,527
10,Delaware,Multiple Races,25266,1451,25831,1493,26260,1432,26009,1486,27079,1895,37567,2214
11,District of Columbia,White,260325,1535,266035,1740,273471,1971,280469,1909,285857,1829,288306,1872
11,District of Columbia,Black or African American,316447,1266,318598,1439,321062,1247,321317,1354,320811,1445,318631,1785
11,District of Columbia,American Indian or Alaska Native,2154,604,2174,753,1757,465,1993,506,2091,501,2438,395
11,District of Columbia,Asian,23822,493,24036,530,25558,570,26718,625,27592,672,28762,626
11,District of Columbia,Native Hawaiian or Other Pacific Islander,250,96,271,97,289,84,340,84,376,77,328,76
11,District of Columbia,Multiple Races,17327,1017,18245,1081,19293,1277,20143,1273,21445,1418,29745,2238
12,Florida,White,14934702,11160,15130748,12461,15343997,14002,15529098,12322,15702256,12602,15199588,16723
12,Florida,Black or African American,3171108,7647,3216994,7692,3270863,7591,3316376,7779,3359031,8106,3381061,9399
12,Florida,American Indian or Alaska Native,54569,2023,52904,1881,56730,2379,58118,2307,59320,2957,55655,2182
12,Florida,Asian,509085,3462,521272,3085,543394,3300,559168,3104,571276,3365,590668,4543
12,Florida,Native Hawaiian or Other Pacific Islander,11024,793,11288,856,12342,1040,12887,996,12653,909,13339,1061
12,Florida,Multiple Races,472082,9024,495368,9693,514823,9516,542340,11178,572021,11130,1277017,13341
13,Georgia,White,6025691,7655,6039389,7870,6061821,8022,6079976,5699,6098889,7850,6020265,10140
13,Georgia,Black or African American,3096757,4598,3148134,4631,3195268,4909,3239300,4425,3289020,6416,3319844,6054
13,Georgia,American Indian or Alaska Native,25887,1751,28950,1884,30552,1967,33484,2337,37440,2491,34962,2051
13,Georgia,Asian,360448,2439,373983,2355,388946,2803,402501,2387,414481,2692,434603,2785
13,Georgia,Native Hawaiian or Other Pacific Islander,4704,499,4916,558,5237,747,6095,876,6233,790,7127,1097
13,Georgia,Multiple Races,213803,5426,222457,5724,237241,5997,252448,6325,265912,6099,393169,9768
15,Hawaii,White,357164,1752,353643,1748,357308,1794,355612,2242,354847,1712,342923,1778
15,Hawaii,Black or African American,28688,1003,25871,823,25884,923,26266,843,26025,1020,26717,989
15,Hawaii,American Indian or Alaska Native,3012,349,2715,355,2756,326,2987,403,3710,566,3508,575
15,Hawaii,Asian,530551,4003,537363,4043,540556,3320,536842,4385,537355,3767,534519,4004
15,Hawaii,Native Hawaiian or Other Pacific Islander,138901,2345,143973,2467,142600,2122,143274,2359,142997,2386,147698,2604
15,Hawaii,Multiple Races,333119,4831,336629,5297,338498,4392,341756,5321,339727,4712,344918,5198
16,Idaho,White,1482914,3009,1493155,3251,1507880,3320,1527262,3055,1545409,3320,1550979,4126
16,Idaho,Black or African American,9900,701,10433,701,11231,700,11536,783,11918,948,11536,944
16,Idaho,American Indian or Alaska Native,20504,1175,21454,1128,21323,1105,22790,984,23136,1168,23029,1208
16,Idaho,Asian,21711,1056,21630,1043,22720,999,23758,953,24287,1026,24501,1042
16,Idaho,Native Hawaiian or Other Pacific Islander,1921,327,2003,321,2343,439,2761,373,2755,376,3174,479
16,Idaho,Multiple Races,41226,1823,42050,1761,43914,2004,46592,2061,50569,2251,75096,2621
17,Illinois,White,9312771,10563,9270907,9534,9236701,10918,9189185,10813,9134903,11078,8874067,11289
17,Illinois,Black or African American,1846108,4053,1837612,4413,1833501,3693,1824125,3784,1813590,4300,1796660,5523
17,Illinois,American Indian or Alaska Native,28363,1728,29399,1974,29696,1854,31864,1950,33460,1927,33972,2270
17,Illinois,Asian,645642,2421,655799,2676,671811,2713,690822,2967,698524,2667,709567,3537
17,Illinois,Native Hawaiian or Other Pacific Islander,3407,385,4186,452,4275,464,4582,524,4477,583,5196,572
17,Illinois,Multiple Races,289537,5794,300222,5828,311397,5450,318413,6286,328446,6346,539552,11006
18,Indiana,White,5529201,4887,5534759,3497,5546787,4163,5548277,4235,5553391,4048,5510354,4802
18,Indiana,Black or African American,603014,2991,608226,2970,613060,3103,619472,3479,626587,3502,631923,3881
18,Indiana,American Indian or Alaska Native,14793,882,15799,1066,15027,844,14925,950,15782,1075,14030,949
18,Indiana,Asian,121729,1438,130232,1687,137680,1531,144991,1837,151979,1734,158705,2039
18,Indiana,Native Hawaiian or Other Pacific Islander,2285,415,2746,446,2635,417,2818,405,2506,313,2205,258
18,Indiana,Multiple Races,145601,4471,146316,4366,153438,4141,162295,4571,169711,4135,222591,4863
19,Iowa,White,2820046,2376,2823890,2504,2824197,2432,2827889,2111,2826070,2704,2806418,2672
19,Iowa,Black or African American,97788,1575,103052,1489,106762,1478,109911,1742,116359,2138,117035,1937
19,Iowa,American Indian or Alaska Native,9977,755,9951,646,10791,863,11549,771,11976,730,10538,700
19,Iowa,Asian,62997,953,66570,1199,71178,1093,75083,1149,75741,1155,79296,1155
19,Iowa,Native Hawaiian or Other Pacific Islander,1882,262,2422,239,2913,428,3129,343,3729,455,3941,369
19,Iowa,Multiple Races,60964,2159,61294,1835,62734,2074,65770,2303,66585,2489,92979,2380
20,Kansas,White,2464566,3155,2468923,3161,2465518,3736,2460619,3181,2455935,3752,2416165,4054
20,Kansas,Black or African American,168402,1874,167706,1843,168470,1781,169801,2013,170291,1995,165837,2385
20,Kansas,American Indian or Alaska Native,24022,1013,23871,1018,23503,1229,24050,1027,24010,1018,22278,1271
20,Kansas,Asian,75653,925,77605,1028,80738,1017,83531,1270,85794,1274,87093,1738
20,Kansas,Native Hawaiian or Other Pacific Islander,1796,229,1874,250,1923,384,2143,326,2382,322,2344,389
20,Kansas,Multiple Races,95365,2570,96030,2852,98415,2351,101044,2762,100557,2672,140045,3743
21,Kentucky,White,3851591,2662,3859516,2301,3862600,2358,3866676,2869,3868479,2812,3848305,3113
21,Kentucky,Black or African American,347034,2166,350242,2279,353088,2081,354112,2532,358928,2240,361230,2429
21,Kentucky,American Indian or Alaska Native,9063,799,9052,821,9324,855,9888,729,9386,853,8364,694
21,Kentucky,Asian,55483,811,57084,1124,59593,1398,62802,1141,65191,1017,68139,1184
21,Kentucky,Native Hawaiian or Other Pacific Islander,2197,329,2584,377,2271,338,2814,435,3182,554,3033,453
21,Kentucky,Multiple Races,90836,2455,92837,2603,96303,2660,99826,2847,100285,2728,124716,3448
22,Louisiana,White,2902538,2855,2909290,2751,2909599,3449,2901106,2870,2892275,3868,2856904,3190
22,Louisiana,Black or African American,1484363,2807,1494201,2712,1500648,2983,1502916,2800,1502963,3062,1500633,3974
22,Louisiana,American Indian or Alaska Native,27238,1059,26403,1000,27094,1105,26272,1010,26361,1082,25938,1147
22,Louisiana,Asian,77818,994,78719,1067,80980,965,79872,1239,80806,1372,80930,978
22,Louisiana,Native Hawaiian or Other Pacific Islander,1824,479,1464,238,1401,300,1468,276,1406,324,1743,513
22,Louisiana,Multiple Races,83877,3085,85159,3120,87523,3307,91563,3183,94959,3487,125653,4865
23,Maine,White,1262026,575,1260476,762,1258918,604,1259217,624,1259522,837,1256030,1381
23,Maine,Black or African American,15037,581,16303,640,16906,680,17881,741,18468,858,18635,785
23,Maine,American Indian or Alaska Native,7811,384,8013,484,8212,527,8302,527,8660,588,8894,536
23,Maine,Asian,14590,572,14643,495,14804,516,14917,527,15109,604,15270,605
23,Maine,Native Hawaiian or Other Pacific Islander,187,67,211,72,249,101,318,106,396,117,190,69
23,Maine,Multiple Races,26298,947,27126,814,28102,1132,29208,981,29796,1142,36960,1514
24,Maryland,White,3416107,5380,3408240,4740,3395212,5083,3373181,5515,3343003,5324,3275048,6375
24,Maryland,Black or African American,1750916,3578,1765926,3836,1782256,3712,1788090,3569,1799094,3624,1803128,5297
24,Maryland,American Indian or Alaska Native,15579,983,15946,1116,16281,1110,15644,1187,16762,1219,15860,1005
24,Maryland,Asian,357616,1659,362259,2229,373065,1784,374277,2285,378126,1823,384429,2538
24,Maryland,Native Hawaiian or Other Pacific Islander,2754,259,2792,261,2830,325,3059,505,3034,387,2650,417
24,Maryland,Multiple Races,175652,4158,186153,4523,189601,4701,199369,4415,206692,5134,271139,6604
25,Massachusetts,White,5334859,5531,5343665,5885,5358373,5778,5360006,7315,5348538,6301,5261787,7359
25,Massachusetts,Black or African American,478947,3918,489233,3521,499774,4178,510558,4376,522357,4279,513369,4583
25,Massachusetts,American Indian or Alaska Native,13189,1034,13931,1080,14336,1256,14493,1150,14764,1052,13999,1164
25,Massachusetts,Asian,400675,2124,411736,2198,426225,2089,442574,2114,452436,2437,466044,2341
25,Massachusetts,Native Hawaiian or Other Pacific Islander,1644,338,2002,319,2253,286,2329,440,2804,473,2786,459
25,Massachusetts,Multiple Races,194677,4853,203014,4707,209523,5159,215493,5035,223035,4364,328244,7932
26,Michigan,White,7823875,3726,7817827,3664,7813199,3658,7818588,4309,7813755,4058,7735902,6563
26,Michigan,Black or African American,1381388,2978,1376446,4001,1374515,3477,1375424,3571,1374314,4050,1360149,4661
26,Michigan,American Indian or Alaska Native,53951,1445,52891,1287,51804,1596,53235,1794,53316,1913,50035,1495
26,Michigan,Asian,268766,1842,276769,2132,289082,2283,304403,1918,311721,2061,316844,2305
26,Michigan,Native Hawaiian or Other Pacific Islander,2083,305,2492,388,2808,334,2979,372,3099,339,3117,353
26,Michigan,Multiple Races,261324,3740,271798,4601,278902,4108,283718,5010,291259,5445,376280,6658
27,Minnesota,White,4594367,3984,4597525,3453,4598252,3575,4606044,3540,4609049,3240,4572149,4803
27,Minnesota,Black or African American,299176,2218,310853,2649,326953,3158,342186,2773,356515,2787,359817,3451
27,Minnesota,American Indian or Alaska Native,56561,1213,56904,1222,57566,1238,58982,1202,58011,1242,54558,1390
27,Minnesota,Asian,240786,1496,246819,1583,255935,1844,262359,1685,268181,1894,275242,1859
27,Minnesota,Native Hawaiian or Other Pacific Islander,1970,274,1969,292,1976,279,2187,326,2194,268,2201,438
27,Minnesota,Multiple Races,144226,3055,148502,3866,154444,4352,157767,3826,165396,3999,217451,4886
28,Mississippi,White,1768174,1866,1764038,1750,1755471,1788,1751193,2016,1743217,2151,1729353,2016
28,Mississippi,Black or African American,1116457,1738,1121327,2072,1122576,2133,1125834,2304,1125623,1996,1123545,2238
28,Mississippi,American Indian or Alaska Native,12896,759,13072,736,13258,582,13689,739,14269,721,13951,551
28,Mississippi,Asian,28900,757,28562,1041,28859,1041,28313,831,29605,1000,29742,1109
28,Mississippi,Native Hawaiian or Other Pacific Islander,409,141,492,198,597,192,707,205,680,250,1215,435
28,Mississippi,Multiple Races,35334,1813,35367,1966,37929,2115,40193,2362,40296,1937,50030,2325
29,Missouri,White,4995527,3051,5000875,2896,5004537,3173,5008342,3253,5015904,3046,4978046,4051
29,Missouri,Black or African American,697022,2845,701896,3009,703061,2885,704896,2524,701334,2959,698043,3776
29,Missouri,American Indian or Alaska Native,24951,1124,25641,1129,25933,1136,26952,1077,27084,1366,24274,1291
29,Missouri,Asian,106537,1495,107953,1518,112959,1519,116720,1479,120654,1282,123810,1990
29,Missouri,Native Hawaiian or Other Pacific Islander,6161,523,6479,573,6336,568,6662,659,8231,550,8887,727
29,Missouri,Multiple Races,147645,3925,148041,3775,151390,3584,155328,3655,160368,4219,214318,5391
30,Montana,White,904977,877,911907,951,916664,942,925642,1128,930204,1008,932157,1489
30,Montana,Black or African American,4757,424,4260,354,4438,406,4630,379,5303,555,5919,648
30,Montana,American Indian or Alaska Native,65693,1080,67222,1158,66865,919,67289,1157,66839,1153,65523,1289
30,Montana,Asian,7187,492,7481,487,7448,430,7947,472,8259,496,8664,513
30,Montana,Native Hawaiian or Other Pacific Islander,848,263,841,289,571,162,757,171,807,255,595,161
30,Montana,Multiple Races,25777,1429,26522,1170,28384,1166,29435,1212,32161,1364,40705,1718
31,Nebraska,White,1647551,2364,1655708,2307,1663612,2725,1666463,2861,1666871,2543,1641256,2669
31,Nebraska,Black or African American,88195,1233,88388,1320,89718,1191,90860,1359,92406,1494,91896,1592
31,Nebraska,American Indian or Alaska Native,16319,741,15739,835,16012,850,17282,866,17673,866,16875,948
31,Nebraska,Asian,38066,621,39794,793,42208,847,44105,900,45655,988,47944,933
31,Nebraska,Native Hawaiian or Other Pacific Islander,1280,281,1305,330,1524,343,1392,245,1327,252,1235,252
31,Nebraska,Multiple Races,41595,1396,43653,1556,45571,1718,48600,1983,50386,2197,75937,2555
32,Nevada,White,1929661,6519,1933057,5767,1936453,5484,1935103,5795,1949707,6861,1881048,7006
32,Nevada,Black or African American,235721,2175,243552,2195,253013,2390,261123,2592,271005,2785,282722,2982
32,Nevada,American Indian or Alaska Native,31393,1361,31927,1164,32426,1484,35845,1365,38026,1495,37715,1550
32,Nevada,Asian,214846,1776,222612,1787,232502,2068,234693,2272,242267,2134,252314,2204
32,Nevada,Native Hawaiian or Other Pacific Islander,17942,613,18334,567,19019,654,19352,634,20022,841,21398,909
32,Nevada,Multiple Races,122935,4229,129036,3832,134335,3846,140499,4035,146408,4503,228481,6269
33,New Hampshire,White,1241313,1221,1243594,1092,1244260,1071,1250014,1368,1252128,1387,1246602,1610
33,New Hampshire,Black or African American,17439,946,17483,942,18632,922,20516,952,21546,1100,21045,894
33,New Hampshire,American Indian or Alaska Native,2238,354,2085,302,2148,391,2090,304,2036,345,2197,374
33,New Hampshire,Asian,31364,694,32094,823,33313,706,36124,772,36180,804,36581,880
33,New Hampshire,Native Hawaiian or Other Pacific Islander,228,99,229,92,289,127,359,150,443,158,424,187
33,New Hampshire,Multiple Races,24346,1073,24906,1266,26190,1182,27890,1244,28281,1252,39852,1715
34,New Jersey,White,6083940,7433,6075710,9686,6085474,9750,6031747,10067,6018074,9356,5820147,9955
34,New Jersey,Black or African American,1202300,3937,1207221,4790,1207356,3964,1196764,4168,1194882,4496,1189681,4791
34,New Jersey,American Indian or Alaska Native,18335,1385,18470,1356,18006,1191,18649,1458,19711,1481,22288,1841
34,New Jersey,Asian,804989,2625,819208,2206,844105,2356,832403,2588,840168,2249,857873,2892
34,New Jersey,Native Hawaiian or Other Pacific Islander,2808,480,2811,440,3013,389,3357,458,3458,493,3156,449
34,New Jersey,Multiple Races,223826,4671,225713,5515,229061,4973,230949,5331,243545,5904,427611,7406
35,New Mexico,White,1524911,6557,1530636,6567,1547843,5960,1558886,5209,1565366,5866,1467849,6135
35,New Mexico,Black or African American,43738,1304,41957,1254,42187,1066,43006,1312,44120,1041,43476,1280
35,New Mexico,American Indian or Alaska Native,190528,2190,193295,1910,197191,2033,199896,1672,199845,1903,195166,2292
35,New Mexico,Asian,28761,1039,29168,1198,29991,986,31513,1132,32577,1092,33695,1013
35,New Mexico,Native Hawaiian or Other Pacific Islander,1276,294,1340,267,1390,250,1514,339,1644,345,1853,391
35,New Mexico,Multiple Races,68053,2988,67797,3116,68282,2554,67508,2907,68264,2647,170302,5226
36,New York,White,12704637,16077,12667413,15437,12638791,15933,12514949,16549,12459687,15906,12160045,15340
36,New York,Black or African American,3070392,8048,3073278,7500,3100685,8707,3068099,7383,3065471,8160,3002401,9903
36,New York,American Indian or Alaska Native,74793,2990,75751,2606,77130,2661,79644,2869,79512,3225,76535,3492
36,New York,Asian,1570223,3844,1599216,4458,1652846,3580,1630341,4603,1647606,3827,1674216,5171
36,New York,Native Hawaiian or Other Pacific Islander,6485,624,7528,653,7937,790,8017,797,8821,985,9376,1171
36,New York,Multiple Races,560879,8910,576440,9362,590026,9530,599183,9680,616257,11719,921553,12294
37,North Carolina,White,6839831,7865,6882915,8207,6937466,7269,6994240,7853,7049919,8837,7019443,8230
37,North Carolina,Black or African American,2115338,4527,2137131,4847,2159427,4712,2179622,5653,2200761,5019,2217522,5491
37,North Carolina,American Indian or Alaska Native,116143,1783,117479,1811,117998,1808,121352,1559,123952,1903,120272,2281
37,North Carolina,Asian,244076,1986,254550,1721,269164,2001,282264,1935,292992,1980,308958,2353
37,North Carolina,Native Hawaiian or Other Pacific Islander,6244,791,6588,936,6393,533,6939,674,7213,682,7368,781
37,North Carolina,Multiple Races,231391,5596,243370,5721,251196,5443,263301,6193,273276,6210,378369,7124
38,North Dakota,White,640208,790,649730,1014,654024,859,655268,1118,655136,1108,651470,1387
38,North Dakota,Black or African American,11872,673,14761,623,17365,618,20445,779,21985,709,23959,769
38,North Dakota,American Indian or Alaska Native,38286,711,38369,742,39507,773,39462,725,40006,923,39165,828
38,North Dakota,Asian,8979,368,9296,474,10197,541,10814,486,11006,581,11979,596
38,North Dakota,Native Hawaiian or Other Pacific Islander,304,106,336,120,341,127,378,154,863,420,1004,480
38,North Dakota,Multiple Races,16132,1114,17979,1148,17441,1027,18306,1197,19612,1194,23942,1565
39,Ohio,White,9538328,3446,9519506,3645,9503779,3426,9489832,3876,9476047,4087,9394878,4978
39,Ohio,Black or African American,1412045,3799,1421943,4339,1428230,3833,1438271,4428,1446193,4080,1442655,5444
39,Ohio,American Indian or Alaska Native,21646,1207,21459,1186,21872,1200,23563,1225,22816,1552,20442,1215
39,Ohio,Asian,216170,2068,224520,1825,235878,1851,249741,2128,258199,1811,268527,2412
39,Ohio,Native Hawaiian or Other Pacific Islander,3060,426,3248,472,3499,344,3591,434,3880,513,3907,568
39,Ohio,Multiple Races,287212,4870,298177,4802,312772,5097,327089,5261,335426,5211,415149,7311
40,Oklahoma,White,2813794,3249,2823497,3414,2828569,3417,2837772,3865,2844070,3529,2809793,3891
40,Oklahoma,Black or African American,278571,2141,281295,1951,283821,1838,287959,1848,286356,2410,287856,2171
40,Oklahoma,American Indian or Alaska Native,279276,2647,286231,2499,289871,2936,294676,2742,299621,2590,303791,2912
40,Oklahoma,Asian,74570,1222,77541,1120,80670,1174,83392,1137,85239,1276,87033,1293
40,Oklahoma,Native Hawaiian or Other Pacific Islander,4701,330,4969,289,5543,386,4471,545,6260,378,6418,426
40,Oklahoma,Multiple Races,299936,3637,299764,3483,302091,4155,303110,4246,304615,4018,344837,4211
41,Oregon,White,3352941,5739,3387825,5055,3416776,5193,3445933,4552,3480920,5357,3449081,6242
41,Oregon,Black or African American,72837,1727,74012,1487,76347,1495,77789,1631,78679,1602,79117,1834
41,Oregon,American Indian or Alaska Native,46258,1878,45233,1957,45332,2217,46961,2043,48060,1868,45683,1833
41,Oregon,Asian,156695,1935,160155,1919,166351,1757,174510,1885,180580,1794,187801,2505
41,Oregon,Native Hawaiian or Other Pacific Islander,15042,691,14936,654,15157,744,16006,668,16625,824,16445,859
41,Oregon,Multiple Races,162793,3886,175541,3884,184164,3860,193660,3900,198352,3751,257972,4915
42,Pennsylvania,White,10430142,6669,10402743,4678,10378174,6319,10341442,5470,10300602,6231,10155004,8675
42,Pennsylvania,Black or African American,1403143,4887,1410563,4935,1417611,4450,1423319,5104,1430664,5337,1419582,6251
42,Pennsylvania,American Indian or Alaska Native,23641,1483,24947,1419,24995,1659,24847,1794,24691,1504,20798,1304
42,Pennsylvania,Asian,392595,2221,401979,2085,417525,1905,427892,2249,436324,2541,449320,2567
42,Pennsylvania,Native Hawaiian or Other Pacific Islander,4279,924,4463,761,3665,603,4107,445,4198,567,4268,492
42,Pennsylvania,Multiple Races,272689,5643,285768,4625,297320,4823,310880,5951,319874,6796,433025,8330
44,Rhode Island,White,854859,2731,854026,2962,854801,2955,854502,2988,850597,3035,835608,3528
44,Rhode Island,Black or African American,68243,1838,68886,1921,68346,1790,69254,1803,71561,1725,69196,1958
44,Rhode Island,American Indian or Alaska Native,5106,594,5130,600,5413,613,5484,802,5277,802,4344,745
44,Rhode Island,Asian,34213,712,34598,888,35556,873,35663,889,35958,912,36536,695
44,Rhode Island,Native Hawaiian or Other Pacific Islander,373,179,575,245,759,207,863,307,810,273,790,231
44,Rhode Island,Multiple Races,29782,1640,30058,1670,31296,2108,32709,1977,35221,2239,52321,3027
45,South Carolina,White,3210708,3608,3252252,3412,3292598,3288,3332986,3149,3372011,4260,3386329,4807
45,South Carolina,Black or African American,1315058,2868,1322368,2459,1332110,3053,1339360,3139,1344139,2889,1346560,3631
45,South Carolina,American Indian or Alaska Native,14966,948,15417,865,14992,962,16686,993,17645,1311,16951,1138
45,South Carolina,Asian,66982,845,68553,1038,71994,1326,75084,1271,78805,1162,83573,1467
45,South Carolina,Native Hawaiian or Other Pacific Islander,2588,556,2784,532,3015,499,3004,495,4002,785,3633,692
45,South Carolina,Multiple Races,93950,3250,100082,3406,104407,3047,110208,3416,115930,3563,151711,4469
46,South Dakota,White,716691,1087,721410,916,724430,1020,730062,1118,733719,1035,735228,1110
46,South Dakota,Black or African American,13133,645,14078,644,14698,654,16241,749,17531,806,18836,799
46,South Dakota,American Indian or Alaska Native,72619,1161,74187,1157,74062,1016,75331,1181,76190,1023,74975,1131
46,South Dakota,Asian,10152,455,11351,579,11693,520,12660,479,12627,483,12413,626
46,South Dakota,Native Hawaiian or Other Pacific Islander,332,122,313,107,381,118,293,100,504,176,544,246
46,South Dakota,Multiple Races,22323,1108,22239,1293,23493,1229,23089,1583,22837,1342,30020,1693
47,Tennessee,White,5059894,4299,5096733,3369,5131786,4392,5166231,4033,5205132,4583,5196680,4158
47,Tennessee,Black or African American,1091070,3037,1100577,2625,1107392,2628,1117489,3465,1124473,3575,1128806,2966
47,Tennessee,American Indian or Alaska Native,17802,1408,18757,1416,17568,884,17848,1114,18189,1047,17178,1217
47,Tennessee,Asian,102027,1470,105368,1223,110605,1660,112915,1485,117600,1532,122897,1790
47,Tennessee,Native Hawaiian or Other Pacific Islander,3323,546,3299,442,3784,535,3806,507,3771,491,3959,550
47,Tennessee,Multiple Races,128760,3562,133210,3440,137501,3568,142134,4315,147536,3695,198988,4232
48,Texas,White,19874610,19131,20174403,17563,20459525,21474,20720689,22200,20903375,19556,19805623,23326
48,Texas,Black or African American,3152917,5810,3221133,5524,3286950,7080,3365783,6566,3428211,7560,3464424,9271
48,Texas,American Indian or Alaska Native,126493,4078,128145,4082,130360,4061,136061,4902,141425,4735,137921,4538
48,Texas,Asian,1124011,3988,1175423,3734,1236852,3969,1308257,4903,1357273,4592,1415664,5832
48,Texas,Native Hawaiian or Other Pacific Islander,21655,1198,22248,1145,23531,1183,23672,1173,25292,1089,25328,1152
48,Texas,Multiple Races,653062,10302,673400,10221,702001,12223,730499,12865,761411,14387,1998084,22167
49,Utah,White,2544735,4907,2572595,4550,2600077,4245,2632056,4656,2676482,5224,2682881,5136
49,Utah,Black or African American,31909,981,32512,1184,33619,1123,35862,1234,36849,1335,38059,1367
49,Utah,American Indian or Alaska Native,31824,1250,31686,1316,32079,1177,32657,1333,33721,1497,33222,1541
49,Utah,Asian,64102,1477,66039,1193,67545,1219,69810,1343,71977,1314,73190,1580
49,Utah,Native Hawaiian or Other Pacific Islander,26147,894,26411,1047,26742,1162,27096,1005,27554,1154,29450,1036
49,Utah,Multiple Races,74755,2608,77810,2711,83283,2622,89879,2754,94036,3137,133651,4644
