FID,FACILITYID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,SECURELVL,CAPACITY,SHAPE_Leng,GlobalID,CreationDate,Creator,EditDate,Editor,SHAPE_Length,SHAPE_Area
448,10002315,PLACER COUNTY MINIMUM SECURITY JAIL,11441 F AVE,AUBURN,CA,95603,-999,(916) 409-8100,COUNTY,CLOSED,0,PLACER,06061,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.placer.ca.gov/departments/Sheriff/Corrections,2018/02/12 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,NOT AVAILABLE,MINIMUM,390,0.00678722864501,{B13B9A7C-43EF-4348-B264-FE0194B770D2},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,869.22010147599,1.75626261536e-06
453,10002350,NORTH COUNTY CORRECTIONAL FACILITY,29340 THE OLD ROAD,CASTAIC,CA,91384,-999,(661) 295-7810,COUNTY,OPEN,4069,LOS ANGELES,06037,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.bscc.ca.gov/s_fsojailprofilesurvey.php, http://shq.lasdnews.net/pages/PageDetail.aspx?id=1716",2018/02/09 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,http://shq.lasdnews.net/pages/tgen1.aspx?id=as1,MAXIMUM,4295,0.0132972833271,{0F06C09F-C07D-4B43-923C-07ADBC1F6CCF},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,1619.31766876159,7.9534510264e-06
475,10002355,CENTRAL JUVENILE HALL,1605 EASTLAKE AVENUE,LOS ANGELES,CA,90033,-999,(323) 226-8611,COUNTY,OPEN,-999,LOS ANGELES,06037,USA,922140,CORRECTIONAL INSTITUTIONS,http://probation.lacounty.gov/wps/portal/probation/juvenile/Halls/,2018/02/09 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,http://probation.lacounty.gov/wps/portal/probation/juvenile/Halls/,JUVENILE,420,0.014110164745,{188F1C4F-3E6D-430A-95D5-232E0D842181},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,1710.45899780138,9.54499923913e-06
479,10002357,CHALLENGER MEMORIAL YOUTH CENTER,5300 W AVENUE I,LANCASTER,CA,93536,-999,(661) 940-4000,COUNTY,OPEN,-999,LOS ANGELES,06037,USA,922140,CORRECTIONAL INSTITUTIONS,"https://locator.lacounty.gov/lac/Location/3176806/challenger-memorial-youth-center, https://www.scpr.org/news/2012/08/29/34065/countys-challenger-youth-camp-overcomes-troubled-p/",2012/08/29 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,https://locator.lacounty.gov/lac/Location/3176806/challenger-memorial-youth-center,JUVENILE,-999,0.0141600383887,{DE755C52-D2A3-498E-90BF-3C65BBD0B2D4},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,1684.31054167579,1.19315712957e-05
510,10000809,IRIS GARRETT JUVENILE JUSTICE COMPLEX,2840 WEST SANDY MUSH ROAD,MERCED,CA,95341,-999,(209) 381-1400,COUNTY,OPEN,98,MERCED,06047,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.co.merced.ca.us/80/Probation,2016/02/15 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,https://www.mercedcourt.org/juvenile.shtml,JUVENILE,120,0.0100102652799,{DDF285D0-2978-455A-A14A-4FEF37B7CFAF},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,1201.80093974576,3.48411734152e-06
556,10006242,JAMES G BOWLES JUVENILE HALL,1831 RIDGE RD,BAKERSFIELD,CA,93305,-999,(661) 868-4300,COUNTY,OPEN,-999,KERN,06029,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.kernprobation.com/institutions/,2018/05/16 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,https://www.kernprobation.com/institutions/juvenile-hall/juvenile-hall-visitation/,JUVENILE,-999,0.00800163117975,{0312D2E5-101E-4ADF-87E2-BAFC149A54A6},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,954.379517841631,3.32160809021e-06
737,10005285,FOUTS SPRINGS YOUTH FACILITY,1333 FOUTS SPRINGS ROAD,STONYFORD,CA,95979,-999,NOT AVAILABLE,COUNTY,CLOSED,0,COLUSA,06011,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.co.solano.ca.us/depts/probation/contact/fouts.asp,2018/02/19 00:00:00+00,UNVERIFIED,2019/11/25 00:00:00+00,NOT AVAILABLE,JUVENILE,-999,0.00569515376723,{D5EFF198-17ED-4286-A869-DF3012456B57},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,706.483626106383,2.13851758965e-06
806,10000893,LONG BEACH CITY JAIL,400 W BROADWAY,LONG BEACH,CA,90802,-999,NOT AVAILABLE,LOCAL,OPEN,232,LOS ANGELES,06037,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.inmateinformation.org/jails-and-police-departments/long-beach-jail/,2018/05/16 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,NOT AVAILABLE,MINIMUM,202,0.00297619082697,{919396EB-D54A-4463-AA7E-D0DA3152E6A1},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,358.009147882776,3.45070947612e-07
928,10000885,VENTURA COUNTY JUVENILE JUSTICE COMPLEX,4333 VINEYARD AVE,OXNARD,CA,93036,-999,(805) 981-5521,COUNTY,OPEN,-999,VENTURA,06111,USA,922140,CORRECTIONAL INSTITUTIONS,http://venturaprobation.org/index.php/facilities,2018/02/19 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,http://venturaprobation.org/index.php/facilities,JUVENILE,420,0.00920210497088,{04F89631-814B-4F79-B708-F5C83DCA0F1C},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,1115.31654458848,5.00084455673e-06
1028,10002351,BELL CITY JAIL,6326 PINE AVE,BELL,CA,90201,-999,(323) 585-1245,LOCAL,OPEN,-999,LOS ANGELES,06037,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.cityofbell.org/?navid=106,2016/02/15 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,-999,0.00156393958987,{43010AC3-A8A9-482A-8455-65D969297822},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,188.925544569675,1.42613458674e-07
1122,10005258,SUGAR PINE CONSERVATION CAMP #9,15905 SUGAR PINE CAMP ROAD,BELLA VISTA,CA,96008,-999,(530) 472-3027,STATE,OPEN,-999,SHASTA,06089,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.cdcr.ca.gov/Conservation_Camps/,2015/11/01 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,http://www.cdcr.ca.gov/Conservation_Camps/,MINIMUM,120,0.00783507696807,{F620E503-2ACC-4634-9F33-1E19F8244BA6},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,1004.20187656599,3.92706531951e-06
1162,10005319,OWENS VALLEY CONSERVATION CAMP #26,2781 SOUTH ROUND VALLEY ROAD,BISHOP,CA,93514,-999,(760) 387-2686,STATE,OPEN,96,INYO,06027,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.cdcr.ca.gov/Conservation_Camps/,2017/09/19 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,http://www.cdcr.ca.gov/Conservation_Camps/,MINIMUM,-999,0.00848947052143,{129F95F3-4695-4711-B052-2D2AA961C615},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,1044.69873056206,3.76860812784e-06
1165,10005272,PARLIN FORK CONSERVATION CAMP #6,23000 STATE HIGHWAY 20,FORT BRAGG,CA,95437,-999,(707) 964-3766,STATE,OPEN,100,MENDOCINO,06045,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.cdcr.ca.gov/Conservation_Camps/,2017/10/26 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,http://www.cdcr.ca.gov/Conservation_Camps/,MINIMUM,100,0.0168896346543,{CC3033AC-E3E0-4A8D-9000-3A7ADB7D2398},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,2103.22149405101,7.24238526105e-06
1166,10005267,SALT CREEK CONSERVATION CAMP #7,10655 ROUND VALLEY ROAD,PASKENTA,CA,96074,-999,(530) 833-5497,STATE,OPEN,120,TEHAMA,06103,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.cdcr.ca.gov/Conservation_Camps/,2017/10/26 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,http://www.cdcr.ca.gov/Conservation_Camps/,MINIMUM,-999,0.00803021851106,{EBA4AE12-EDD9-44B4-B76A-D925F3B30423},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,1023.08513211327,3.80218097199e-06
1167,10005362,VENTURA CONSERVATION CAMP #46,2800 WRIGHT ROAD,CAMARILLO,CA,93010,-999,(805) 983-1332,STATE,OPEN,79,VENTURA,06111,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.cdcr.ca.gov/Conservation_Camps/,2017/09/19 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,http://www.cdcr.ca.gov/Conservation_Camps/,MINIMUM,110,0.00477293449251,{CF61B799-029A-4937-9FBB-BD401D08808F},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,579.088488534781,1.16235195424e-06
1175,10005275,VALLEY VIEW CONSERVATION CAMP #34,3339 COUNTY ROAD 307,ELK CREEK,CA,95939,-999,(530) 968-5107,STATE,OPEN,107,GLENN,06021,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.cdcr.ca.gov/Conservation_Camps/,2015/12/31 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,http://www.cdcr.ca.gov/Conservation_Camps/,MINIMUM,115,0.00535566470831,{137C2EC6-A068-44CA-B74B-239AE9FC79B4},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,659.834184074281,1.76144232038e-06
1178,10000811,MIRAMONTE CONSERVATION CAMP #5,49039 ORCHARD DRIVE,MIRAMONTE,CA,93641,-999,(559) 336-2312,STATE,OPEN,78,FRESNO,06019,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.cdcr.ca.gov/Conservation_Camps/,2017/09/19 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,http://www.cdcr.ca.gov/Conservation_Camps/,MINIMUM,80,0.0053787872904,{FBD1A090-4C61-47DB-84AA-89292CE64F79},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,676.327574448052,1.95963455432e-06
1179,10000840,PRADO CONSERVATION CAMP #28,14467 CENTRAL AVENUE,CHINO,CA,91710,-999,(909) 597-3917,STATE,OPEN,78,SAN BERNARDINO,06071,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.cdcr.ca.gov/Conservation_Camps/,2017/09/19 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,http://www.cdcr.ca.gov/Conservation_Camps/,MINIMUM,80,0.0120101741181,{E50D66BA-CF0D-470F-9FA0-0C54FAD4AAB0},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,1427.19867683375,7.93999980593e-06
1180,10000881,VENTURA YOUTH CORRECTIONAL FACILITY,3100 WRIGHT ROAD,CAMARILLO,CA,93010,-999,(805) 485-7951,STATE,OPEN,179,VENTURA,06111,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.cdcr.ca.gov/Juvenile_Justice/Research_and_Statistics/ADP_Monthly_2017.html,2017/09/06 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,http://www.cdcr.ca.gov/Juvenile_Justice/Facility_Locations/index.html,JUVENILE,217,0.0166286354274,{B3AAEC45-2E00-418E-87FF-53A792C5F35E},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,2020.81897591389,1.54071730653e-05
1187,10000784,PINE GROVE CONSERVATION CAMP,13630 AQUEDUCT VOLCANO ROAD,PINE GROVE,CA,95665,-999,(209) 296-7581,STATE,OPEN,39,AMADOR,06005,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.cdcr.ca.gov/Juvenile_Justice/Research_and_Statistics/ADP_Monthly_2017.html, http://www.cdcr.ca.gov/Conservation_Camps/",2017/09/06 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,http://www.cdcr.ca.gov/Conservation_Camps/,JUVENILE,80,0.00704802624151,{E255202A-31AC-43B2-81A1-90DF3A94DC8F},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,930.944413472165,2.23608097432e-06
1188,10002322,"CALIFORNIA STATE PRISON, SACRAMENTO (SAC)",100 PRISON ROAD,REPRESA,CA,95671,-999,(916) 985-8610,STATE,OPEN,2167,SACRAMENTO,06067,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.cdcr.ca.gov/Reports_Research/Offender_Information_Services_Branch/Population_Reports.html,2017/10/18 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,http://www.cdcr.ca.gov/Facilities_Locator/,MAXIMUM,1828,0.0285456317786,{36B03C84-ABD0-4533-85A8-2E0E0F459CD2},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,3548.84877108971,3.26665580279e-05
1233,10000849,MESA VERDE DETENTION FACILITY,425 GOLDEN STATE AVE,BAKERSFIELD,CA,93301,-999,(661) 859-1028,MULTI,OPEN,387,KERN,06029,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.immigrantjustice.org/sites/default/files/uploaded-files/no-content-type/2017-06/ICE_detention_list_April2017_0.pdf, https://www.geogroup.com/Locations",2017/10/12 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,https://www.ice.gov/detention-facility/mesa-verde-ice-processing-facility,MINIMUM,400,0.00386166162969,{27A17001-20B6-4046-B45A-3B58D10FAEE4},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,485.838006018853,7.92657341855e-07
1251,10000842,CI TAFT,1500 CADET ROAD,TAFT,CA,93268,-999,(661) 763-2510,FEDERAL,CLOSED,1750,KERN,06029,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.bakersfield.com/news/taft-federal-prison-to-close-jan/article_28e00dfa-e483-11e9-9816-7f41c4181dd2.html,2016/02/16 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,http://www.mtctrains.com/corrections/#locations,MINIMUM,1770,0.0162097433089,{30CBB166-3D73-44EE-9733-15A91A750DDD},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,1937.45338553446,1.68137411146e-05
1253,10006506,CI TAFT CAMP,1500 CADET ROAD,TAFT,CA,93268,-999,(661) 763-2510,FEDERAL,CLOSED,388,KERN,06029,USA,922140,CORRECTIONAL INSTITUTIONS,"https://www.bop.gov/about/statistics/population_statistics.jsp, http://jayhurst.net/wp-content/uploads/2013/09/16-0216_Capacities_PP80_population_report.pdf",2016/02/16 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,http://www.mtctrains.com/corrections/#locations,MINIMUM,585,0.00774374450473,{262C4B0E-B139-4B69-8F07-11581368EA24},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,921.751260887071,2.17517438344e-06
1267,10005289,EL DORADO COUNTY JAIL - SOUTH LAKE TAHOE,1051 AL TAHOE BOULEVARD,SOUTH LAKE TAHOE,CA,96150,-999,(530) 573-3031,COUNTY,OPEN,141,EL DORADO,06017,USA,922140,CORRECTIONAL INSTITUTIONS,https://appnet1.edso.org/custody/inCustody.php,2018/02/08 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,https://www.edcgov.us/Government/sheriff/Pages/sheriff_main_info.aspx,NOT AVAILABLE,158,0.00444174033944,{CC3FAB77-FADF-4771-AD36-9F02985A554C},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,553.324543671885,8.29518003018e-07
1276,10006509,IMPERIAL REGIONAL DETENTION FACILITY,1572 GATEWAY ROAD,CALEXICO,CA,92231,-999,(760) 618-7200,FEDERAL,OPEN,700,IMPERIAL,06025,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.sandiegouniontribune.com/news/immigration/sd-me-immigration-judges-20170410-story.html, http://www.mtctrains.com/corrections/#locations",2017/04/10 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,http://www.mtctrains.com/corrections/#locations,MAXIMUM,782,0.00944943294548,{9752A493-C91F-40FA-986C-A52B7A639520},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,1161.10076146697,6.12170905851e-06
1278,10006510,OTAY MESA DETENTION CENTER,7488 CALZADA DE LA FUENTE,SAN DIEGO,CA,92231,-999,(619) 661-3823,FEDERAL,OPEN,-999,SAN DIEGO,06073,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.cca.com/locations,2017/10/04 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,https://www.ice.gov/detention-facility/otay-mesa-detention-center,MEDIUM,1482,0.00991964852758,{D11944DF-1B51-4ECA-957E-8CC42375A453},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,1172.92782692914,5.94527369786e-06
1326,10000879,PUERTA LA CRUZ CONSERVATION CAMP #14,32363 STATE HIGHWAY 79,WARNER SPRINGS,CA,92086,-999,(760) 782-3547,STATE,OPEN,120,SAN DIEGO,06073,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.cdcr.ca.gov/Conservation_Camps/,2017/10/26 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,http://www.cdcr.ca.gov/Conservation_Camps/,MINIMUM,120,0.00726895712281,{639CAC00-AADC-4849-B582-B8A4ABD040C9},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,878.966955643544,3.77201898233e-06
1354,10002347,CALIPATRIA STATE PRISON (CAL),7018 BLAIR ROAD,CALIPATRIA,CA,92233,-999,(760) 348-7000,STATE,OPEN,3711,IMPERIAL,06025,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.cdcr.ca.gov/Reports_Research/Offender_Information_Services_Branch/Population_Reports.html,2017/10/18 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,http://www.cdcr.ca.gov/Facilities_Locator/,MAXIMUM,2308,0.0315825975595,{AA72B12F-FC8C-40D2-B7FB-68C5F99CB1D9},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,3736.04521269298,4.4060500543e-05
1396,10000873,DESCANSO DETENTION FACILITY,7878 CAMPBELL RANCH RD,ALPINE,CA,91901,-999,NOT AVAILABLE,COUNTY,CLOSED,0,SAN DIEGO,06073,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.sandiegoreader.com/news/2010/feb/17/city-lights-please-put-me-jail/#,2010/02/17 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,https://www.dsh.ca.gov/Hospitals/index.html,MEDIUM,-999,0.0109533366027,{BF12A83A-6B0C-43E1-9CAB-4A7993C52047},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,1361.56224949216,6.57970419135e-06
1409,10000897,GLENDALE CITY JAIL,131 N ISABEL ST,GLENDALE,CA,91206,-999,(818) 548-3124,LOCAL,OPEN,-999,LOS ANGELES,06037,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.glendaleca.gov/government/departments/police-department,2018/05/15 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,https://www.glendaleca.gov/government/departments/police-department/jail-information,MINIMUM,96,0.00397138098612,{0A60EBB0-FA8B-42F2-9764-0F479E77581C},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,483.431839181633,6.34825174697e-07
